ID,G99,C56,C97,C77,C75,C58,C66,G88,C9,G47,G65,C92,G59,C23,C102,G73,G30,C6,G49,C11,C24,G32,C49,G97,G77,C13,G33,C32,C42,G29,G20,G7,C61,G26,C3,G98,C50,C87,G51,G79,G70,G55,G83,C20,C25,C48,C26,G6,G58,G8,G91,G39,C96,G69,C30,G31,G37,C84,C68,C65
KLRC2,1.130204656,5.72,1.1,0.29,5.98,9.8,3.25,0.790156602,1.5,1.568584048,0.985362143,0.33,0.829972582,0.37,7.2,1.162456172,3.968686748,2.89,1.258767265,30.22,3.08,3.702318084,1.06,2.082072026,0.750312947,9.89,1.028602776,6.85,0.75,3.975919479,22.41059808,6.633852845,9.35,5.258379905,1.15,2.863301996,1.13,5.82,0.816496413,1.455955382,1.650443059,2.754483182,0.313361392,6.56,1.17,0.41,6.33,14.97365806,0.626602848,2.284138203,0.996276934,1.29457275,5.07,2.860964228,4.16,3.142558794,1.199003911,1.01,7.46,4.16
KLRC3,3.413664927,9.6,1.71,0.25,8.27,4.83,7.38,1.190237803,1.99,1.546233254,0.569101643,0.42,1.129414326,0.92,7.76,0.449411066,4.847730992,2.06,1.148520718,46.22,2.79,3.95920294,3.46,2.785432463,0.900720517,10.96,1.020668997,6.9,1.59,4.853748138,10.59464415,11.77533227,17.68,5.602274928,2.98,2.092024877,0.41,11.82,1.178542092,1.844911845,1.613609441,4.024827727,0.509087703,4.41,5.25,0.59,6.82,12.07796673,0.868205492,2.809269518,0.557095373,1.1914873,2.39,3.834316896,9.15,3.096489709,1.076804693,2.49,6.61,7.17
LRRN3,0.222285815,0.78,0.16,0.14,1,0.28,0.85,0.000162402,0.25,0.218824603,0.084463786,0.18,0.102471027,0.41,0.03,0.068840851,0.451424775,0.78,0.060123274,4.59,0.06,0.132371674,0.21,0.388862604,0.109874452,3.99,0.023090591,0,0.71,0.450057241,0.149093467,1.07164513,1.38,0.036649384,0.42,0.43526468,0.07,2.08,0.005012835,0.25777258,0.337746209,0.537436364,0.098353998,0.08,5.38,0.01,0.3,3.97730367,0.05769237,0.261464552,0.083372307,0.056542725,0.77,0.563352669,0.76,0.073121424,0.066099609,0.68,0.1,0.65
MMP8,17.88877206,85.81,13.67,119.34,26.53,3.59,24.6,344.8437158,119.09,129.5909792,91.3916495,149.92,106.2242442,182.41,1245.19,108.5542197,51.09767263,62.37,305.4997025,3.22,34.29,67.35462283,18.31,12.17756785,105.6283896,11.11,262.5007633,100.71,105.51,51.11697004,430.0655156,18.71208905,13.68,949.9806282,26.22,9.183709866,105.53,20.01,337.9793259,118.8982764,7.409571389,43.31795227,1378.950578,67.23,719.51,98.16,8.82,31.09424776,102.3191721,38.31137665,92.4585703,323.8070471,0.28,44.4480303,46.36,28.48035801,274.9426997,39.62,81.95,22.65
MS4A2,0.289469302,0.58,0.09,0.04,0.95,0.38,0.6,0.120191402,0.19,0.326233254,0.218029214,0.24,0.103941433,0.07,0.04,0.038114043,0.270759289,1.76,0.19518491,2.29,0.04,0.156831882,0.3,0.146689196,0.10918486,1.49,0.112303136,0.06,0.23,0.269817211,0.42601438,2.069887483,1.65,0.086545687,0.76,0.028785074,0.03,1.36,0.126445073,0.19518172,0.163765952,0.365487273,0.067040155,0.1,0.96,0.05,0.08,0.461277209,0.077820549,0.32097876,0.203839986,0.189814087,1.66,0.369151783,0.07,0.106199407,0.204149413,0.31,0.11,1.26
MTUS1,0.15930628,0.36,0.18,0.07,0.46,0.07,0.24,0.0500174,0.12,0.265765833,0.072768107,0.28,0.089264797,0.16,0.05,0.088114043,0.197713273,0.28,0.133705628,7.18,0.14,0.100265481,0.14,0.421069807,0.166175398,0.64,0.088484319,0.06,0.37,0.197348598,0.072052725,0.564187324,1.03,0.113169147,0.24,0.5532709,0.08,0.79,0.048567761,0.174408058,0.303980257,0.221859091,0.034868616,0.02,0.53,0.07,0.29,1.672079777,0.07993591,0.191219862,0.073313847,0.171301388,0.32,0.217218745,0.26,0.12,0.070954107,0.24,0.08,0.23
MYBL1,0.802457163,4.37,0.46,0.59,7.26,1.55,2.94,0.180330604,1.58,1.517056945,0.394362749,0.6,0.762443609,0.71,3.24,0.115344684,2.003890249,7.44,3.531415388,17.16,1.19,0.747911465,0.8,0.835772521,0.679090238,6.08,0.376270026,1.93,1.73,1.998663234,1.212839428,6.139069526,10.83,4.390343413,0.9,0.80763234,0.04,5.46,0.198619101,1.535955382,1.185834335,2.281649545,0.127040155,1.86,4.07,0.25,3.15,5.218676288,0.514295218,3.113398752,0.367621512,4.652127077,1.62,2.479821401,2.54,0.687283322,1.660822417,1.33,0.61,5.79
NEFL,0.302277488,0.28,0.07,0.17,0.27,0.24,0.52,2.90E-05,0,0.894826428,0.09062325,0.21,0.036882243,0.13,0.09,0.05159149,0.250093804,1.04,0.143212534,6.09,0.07,0.128159289,0.31,0.197572077,0.429905378,0.49,0.053878046,0.05,0.28,0.24957718,0.018997603,0.474187324,0.94,0.156493839,0.05,0.073208707,0.04,1.23,0,0.27463115,0.242068384,0.31,0.052959845,0.23,3.25,0.06,0.25,0.85553217,0.048076907,0.104877655,0.086803073,0.195130488,0.76,0.314339287,0.19,0.053121424,0.056555671,0.14,0.06,0.15
NELL2,1.673706562,6.09,0.58,0.88,1.6,1.35,3.4,0.130696009,1.62,4.121420514,1.051493606,1.52,0.753267285,1.37,1.03,0.472869793,4.500518525,7.43,1.735707694,43,0.59,0.78732753,1.62,2.4018851,1.841282715,21.55,0.62259928,2.37,3.03,4.48146423,0.671146192,10.68200553,17,1.791354455,2.32,2.466354498,0.35,12.87,0.134296716,2.397257971,1.576677108,5.786627727,0.689861222,0.7,10.68,0.21,2.74,20.22621248,0.490192674,3.009019446,0.99855687,2.296063538,3.05,6.031986461,3.88,0.338641661,0.800411209,1.42,0.23,3.7
NTN4,0.08789386,0.23,0.03,0,0.45,0,0.02,1.16E-05,0.12,0.03917631,0,0,0.046235514,0,0.04,0.002318298,0.038856637,0.07,0.202472893,0.66,0.02,0,0.09,0.059337839,0.011097161,0.09,0.007696864,0.04,0.22,0.038674299,0.05,0.121588871,0.22,0.163013602,0.04,0.022803732,0,0.05,0,0.096682261,0.012453648,0.065442273,0.007565692,0.06,0.12,0,0.17,0.574254962,0.023846185,0.058292552,0,0.275874138,0,0.05349107,0,0,0.079958018,0.03,0.01,0.78
